"machine_id";"serial_number";"model";"capability";"no_of_modules";"software_version";"workstation";"ownership";"type_of_purchase"
1244;110022374;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1245;110022474;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"MACARE-HBDC"
1246;110022580;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1247;110022622;"GXIV-2-D-10C";"10C";2;6.5;"Desktop";"";"CONSORTIUM"
1248;110023457;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"DONATION"
1249;110023460;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"MACARE-HBDC"
1250;110023494;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1251;110023495;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1252;110023496;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1253;110023497;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1254;110023498;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1255;110023499;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1256;110023500;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1257;110023501;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1258;110023502;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1259;110023503;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1260;110023504;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1261;110023505;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1262;110023506;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1263;110023507;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1264;110023508;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1265;110023509;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1266;110023510;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1267;110023511;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1268;110023512;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1269;110023513;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1270;110023514;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1271;110023515;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1272;110023516;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1273;110023517;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1274;110023518;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1275;110023519;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1276;110023520;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1277;110023521;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1278;110023522;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1279;110023523;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1280;110023524;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1281;110023525;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"UNOPS"
1282;110023526;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1283;110023527;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1284;110023528;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1285;110023529;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1286;110023530;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1287;110023531;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1288;110023532;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1289;110023533;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1290;110023534;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1291;110023535;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1292;110023536;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1293;110023537;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1294;110023538;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1295;110023539;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1296;110023540;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1297;110023541;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1298;110023542;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1299;110023543;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
